DATE,NGDPRSAXDCCAQ
2010-01-01,430760.3
2010-04-01,433014.3
2010-07-01,436083.0
2010-10-01,440956.3
2011-01-01,444287.0
2011-04-01,445152.5
2011-07-01,451294.0
2011-10-01,454848.0
2012-01-01,455139.5
2012-04-01,456624.0
2012-07-01,457246.0
2012-10-01,458191.5
2013-01-01,462301.5
2013-04-01,464984.5
2013-07-01,468774.0
2013-10-01,473698.8
2014-01-01,474473.0
2014-04-01,478806.5
2014-07-01,483398.5
2014-10-01,486743.5
2015-01-01,484068.8
2015-04-01,482751.3
2015-07-01,484458.8
2015-10-01,484821.5
2016-01-01,487480.8
2016-04-01,485083.8
2016-07-01,490086.0
2016-10-01,492837.8
2017-01-01,498194.5
2017-04-01,503291.3
2017-07-01,505414.5
2017-10-01,508032.5
2018-01-01,512479.0
2018-04-01,516502.5
2018-07-01,520067.0
2018-10-01,521839.8
2019-01-01,522312.8
2019-04-01,527487.5
2019-07-01,529210.5
2019-10-01,530801.8
2020-01-01,519350.8
2020-04-01,462001.3
2020-07-01,503507.3
2020-10-01,514546.3
2021-01-01,520170.0
2021-04-01,516050.0
2021-07-01,522799.0
2021-10-01,531177.3
2022-01-01,535240.5
2022-04-01,539560.5
2022-07-01,541718.7
